REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,METRIC,METRIC_NAME,METRIC_VALUE
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD12,Number of new suspected autism referrals in the month,4135
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD13,Number of closed suspected autism referrals in the month,3105
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16,Number of patients with an open suspected autism referral in the month,69495
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16a,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks,61735
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16f,"Number of patients with an open suspected autism referral in the month per 100,000 of the population",1299
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16g,"Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks per 100,000 of the population",1154
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment in 13 weeks or less,2705
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18a,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment after more than 13 weeks,9610
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18b,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks that have not had a care contact appointment recorded,49550
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment in 13 weeks or less,4
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19a,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment after more than 13 weeks,16
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19b,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks that have not had a care contact appointment recorded,80
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD20,Number of patients which have an open suspected autism referral in the month receiving at least one care contact in the month,3440
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD21,Number of patients with an open suspected autism referral receiving an autism diagnosis in the month,595
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD23,Number of patients with an open suspected autism referral receiving a Mental and Behavioural disorder diagnosis in the month that is not an autism diagnosis,55
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD24,Number of patients with an open suspected autism referral receiving a non-Mental and Behavioural disorder diagnosis recorded in the month,50
01/04/2025,30/04/2025,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD25,Median waiting time in days of patients with an open suspected autism referral where their first care contact was in the quarter,466
