REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,METRIC,METRIC_NAME,METRIC_VALUE
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD12,Number of new suspected autism referrals in the month,3670
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD13,Number of closed suspected autism referrals in the month,3575
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16,Number of patients with an open suspected autism referral in the month,78025
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16a,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks,69040
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16f,"Number of patients with an open suspected autism referral in the month per 100,000 of the population",1459
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD16g,"Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks per 100,000 of the population",1291
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment in 13 weeks or less,2860
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18a,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment after more than 13 weeks,8965
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD18b,Number of patients with an open suspected autism referral in the month that has been open for at least 13 weeks that have not had a care contact appointment recorded,57510
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment in 13 weeks or less,4
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19a,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks receiving a first appointment after more than 13 weeks,13
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD19b,Proportion of patients with an open suspected autism referral in the month that has been open for at least 13 weeks that have not had a care contact appointment recorded,83
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD20,Number of patients which have an open suspected autism referral in the month receiving at least one care contact in the month,3500
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD21,Number of patients with an open suspected autism referral receiving an autism diagnosis in the month,605
01/04/2026,30/04/2026,Latest Available Data,Age Group,10 to 17,People aged 10 to 17,NONE,NONE,ASD23,Number of patients with an open suspected autism referral receiving a Mental and Behavioural disorder diagnosis in the month that is not an autism diagnosis,70
